,0,1
956,long-range,11
957,long-term,20
958,long_enough,237
959,long_time,1679
960,longer,879
961,longest_time,75
962,look,2585
963,look_at,2184
964,look_like,1763
965,lose,2287
966,loss,427
967,lot,492
968,lot_of,1208
969,love,1875
970,lovely,671
971,lucky,1500
972,luggage,419
973,lunch,792
974,lyceum,54
975,machine_gun,748
976,maid,719
977,make,2647
978,make_peace,84
979,man,2557
980,manage,1465
981,many,2496
982,many_year,1207
983,march,1536
984,margarine,228
985,married_sister,39
986,marry,2238
987,martyr,69
988,mass,536
989,material,1047
990,matter_of,1470
991,maybe,2501
992,mean,2580
993,meaning,447
994,meaningless,47
995,meat,982
996,mediate,12
997,medical_care,102
998,medical_school,233
999,meet,2500
1000,meeting,1129
1001,member,645
1002,memory,1549
1003,mention,1992
1004,merge,43
1005,message,1054
1006,mica,7
1007,mid,154
1008,middle,1454
1009,middle_age,42
1010,midnight,199
1011,might,1839
1012,mile,778
1013,million,830
1014,mind,2168
1015,mine,1229
1016,mining_town,19
1017,minority,294
1018,minute,1696
1019,mistake,793
1020,mix_up,315
1021,mixed_marriage,97
1022,mm-hmm,101
1023,model,189
1024,moechten,1
1025,moment,1642
1026,momentum,19
1027,money,2268
1028,monstrous,18
1029,morale,146
1030,more_than,1768
1031,morning,2272
1032,morning_till,121
1033,most_of,2115
1034,mostly,1768
1035,mother,2376
1036,motion,252
1037,mountain,991
1038,move,2439
1039,move_around,398
1040,much,2526
1041,much_more,1044
1042,museum,675
1043,musical,200
1044,must,1800
1045,must_have,1965
1046,mut,12
1047,my_aunt,1157
1048,my_cousin,1236
1049,my_daughter,1148
1050,my_father,2490
1051,my_favorite,248
1052,my_girlfriend,396
1053,my_husband,1221
1054,my_mind,1322
1055,my_mother,2461
1056,my_own,1539
1057,my_sister,1532
1058,my_son,1186
1059,my_uncle,1421
1060,naked,600
1061,name,2606
1062,narrowly,8
1063,nation,533
1064,national,462
1065,national_holiday,31
1066,nationalism,55
1067,nationality,554
1068,natural,428
1069,natural_cause,82
1070,near,1935
1071,nearly,353
1072,necessary,677
1073,necessity,254
1074,need,2475
1075,negotiate,129
1076,neighbor,1552
1077,never,2597
1078,never_expect,97
1079,never_hear,903
1080,never_occur,109
1081,new,1981
1082,news,1290
1083,next,2296
1084,nice,2025
1085,nickname,394
1086,night,2375
1087,nightmare,566
1088,nightmarish,18
1089,no_choice,497
1090,no_desire,65
1091,no_explanation,64
1092,no_idea,1101
1093,nobo,5
1094,nobody,2314
1095,nobody_care,145
1096,nobody_ever,343
1097,non-jew,782
1098,normal,1321
1099,north,574
1100,nostalgia,23
1101,not_allow,1491
1102,nothing,2518
1103,nothing_else,666
1104,notice,1393
1105,nowadays,198
1106,number,2021
1107,obviously,980
1108,occasional,95
1109,occupation,926
1110,occur,664
1111,occurrence,98
1112,of_course,2158
1113,office,1614
1114,officer,1415
1115,official,890
1116,officially,534
1117,often,1244
1118,oh,2228
1119,ok,1287
1120,old,2528
1121,old-age,24
1122,older,1923
1123,omit,58
1124,on_Sunday,408
1125,on_Sundays,176
1126,on_Yom,219
1127,one,2660
1128,one_day,2146
1129,only_thing,1384
1130,open,2263
1131,open_cattle,32
1132,operate,559
1133,operation,657
1134,opportunistic,9
1135,opt,49
1136,optimistic,163
1137,or_five,946
1138,or_four,1150
1139,or_less,951
1140,or_something,1926
1141,order,2079
1142,orderliness,8
1143,ordinary,342
1144,organization,1616
1145,orientation,109
1146,originally,749
1147,orthodox,575
1148,ostentatiously,5
1149,other_side,1530
1150,otherwise,1525
1151,outhouse,183
1152,outlet,77
1153,outline,69
1154,outlying,25
1155,outside,2260
1156,over_there,1373
1157,overall,173
1158,overexposure,2
1159,overhaul,8
1160,overhead,113
1161,overwhelming,153
1162,own_mind,61
1163,packet,96
1164,paint,660
1165,pampered,42
1166,paper,1709
1167,parade,360
1168,parallel,147
1169,parcel,224
1170,parent,2301
1171,park,746
1172,part_of,2418
1173,participate_in,521
1174,particular_time,195
1175,partly,274
1176,partly_because,63
1177,party,1245
1178,pass,1840
1179,passage,301
1180,passport,1009
1181,past,1132
1182,pay,1994
1183,peacefully,64
1184,peasant,485
1185,peasant_woman,44
1186,penetrate,140
1187,peon,3
1188,people,2664
1189,people_who,2224
1190,perceive,116
1191,perfectly,298
1192,perform,502
1193,perhaps,936
1194,perimeter,101
1195,persecute,367
1196,persecution,329
1197,person,2269
1198,personal,814
1199,personally,1142
1200,phd,131
1201,philosophy,339
1202,photograph,855
1203,physical_problem,20
1204,physically,719
1205,pianist,124
1206,pick,1877
1207,picture,2181
1208,piece,1126
1209,piece_of,1769
1210,pile,535
1211,pin,296
1212,place,2602
1213,plan,1369
1214,plank,122
1215,platform,369
1216,play,1996
1217,play_bridge,57
1218,pogrom,491
1219,point,2239
1220,policeman,882
1221,polish,1844
1222,political,874
1223,political_activity,43
1224,political_prisoner,307
1225,polling,5
1226,population,1070
1227,position,1173
1228,possibility,674
1229,possible,1716
1230,post,555
1231,post_office,281
1232,postal,42
1233,postcard,277
1234,potato,1275
1235,potential,111
1236,power,1295
1237,practically,708
1238,practice,894
1239,prepare,1352
1240,present,1102
1241,preserve,283
1242,president,525
1243,pretty,1223
1244,pretty_close,127
1245,pretty_good,645
1246,pretty_much,435
1247,prevail,125
1248,previously,281
1249,price,463
1250,print,491
1251,prisoner,1478
1252,private,985
1253,prize,152
1254,probably,2087
1255,professional,723
1256,prolong,65
1257,prominent_Jews,29
1258,promising,49
1259,pronouncement,12
1260,property,529
1261,prosecute,89
1262,protect,1037
1263,protected,103
1264,protection,452
1265,protective,126
1266,proverbial,11
1267,provocation,43
1268,prussian,77
1269,psychologically,169
1270,public,797
1271,public_school,1049
1272,purpose,971
1273,push,1630
1274,put,2595
1275,quarantine,274
1276,quarter,853
1277,question,2239
1278,quite,2078
1279,quite_comfortable,69
1280,quite_sure,281
1281,quota,581
1282,rabbi,1285
1283,race,432
1284,racial,118
1285,radio,1498
1286,rag,393
1287,rage,140
1288,railway,224
1289,railway_station,216
1290,raise,1301
1291,rank,390
1292,rape,408
1293,rather,1196
1294,ration,954
1295,rationale,31
1296,re_--,168
1297,react,591
1298,reaction,772
1299,real,1831
1300,real_name,213
1301,realize,1828
1302,really,2534
1303,reason,2005
1304,receive,1392
1305,recently,545
1306,reception,216
1307,recognize,1636
1308,recollect,145
1309,record,993
1310,redo,35
1311,refuse,838
1312,regime,287
1313,relate,625
1314,relationshi,2
1315,relatively,344
1316,relevant,97
1317,relic,11
1318,relief,361
1319,religion,1355
1320,religious,1820
1321,remain,1284
1322,remark,369
1323,remember,2609
1324,remind,711
1325,repeat,709
1326,report,1143
1327,repress,40
1328,resent,261
1329,respect,1044
1330,respond,354
1331,rest_of,1660
1332,restaurant,725
1333,restore,139
1334,restricted,286
1335,restriction,414
1336,restroom,42
1337,result_of,1059
1338,retreat,348
1339,return,1312
1340,reunify,5
1341,reunite,223
1342,reunite_with,247
1343,revamp,2
1344,revenge,292
1345,richer,94
1346,ridden,14
1347,ridiculous,343
1348,rife,11
1349,right,2583
1350,ritual,262
1351,river,1026
1352,ro_--,55
1353,roll_call,238
1354,roof,830
1355,roof_over,114
1356,room,2357
1357,round,716
1358,rule,861
1359,rumor,857
1360,run,2347
1361,run_away,1391
1362,run_into,675
1363,run_water,217
1364,runaway,44
1365,sad,692
1366,safe,1134
1367,saint,118
1368,salami,228
1369,sanity,56
1370,save,2111
1371,say,2657
1372,scaffolding,17
1373,scapegoat,88
1374,scare,1182
1375,scary,303
1376,scatter,139
1377,school,2522
1378,secondary_school,53
1379,security,399
1380,see,2657
1381,seed,143
1382,seek_out,55
1383,seem,1064
